   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00   .00000E+00
   .10101E+02   .00000E+00   .95728E-02   .19567E+00   .55338E+00   .93707E+00   .12901E+01
   .30303E+02   .00000E+00   .29260E-01   .58981E+00   .16635E+01   .28143E+01   .38731E+01
   .50505E+02   .00000E+00   .50591E-01   .99233E+00   .27838E+01   .47009E+01   .64641E+01
   .70707E+02   .00000E+00   .74731E-01   .14089E+01   .39211E+01   .66030E+01   .90684E+01
   .90909E+02   .00000E+00   .10295E+00   .18451E+01   .50819E+01   .85267E+01   .11691E+02
   .11111E+03   .00000E+00   .13665E+00   .23068E+01   .62731E+01   .10478E+02   .14338E+02
   .13131E+03   .00000E+00   .17746E+00   .27997E+01   .75013E+01   .12464E+02   .17015E+02
   .15152E+03   .00000E+00   .22720E+00   .33298E+01   .87730E+01   .14489E+02   .19725E+02
   .17172E+03   .00000E+00   .28802E+00   .39031E+01   .10095E+02   .16560E+02   .22475E+02
   .19192E+03   .00000E+00   .36237E+00   .45257E+01   .11472E+02   .18682E+02   .25270E+02
   .21212E+03   .00000E+00   .45311E+00   .52038E+01   .12913E+02   .20862E+02   .28114E+02
   .23232E+03   .00000E+00   .56355E+00   .59438E+01   .14423E+02   .23104E+02   .31012E+02
   .25253E+03   .00000E+00   .69748E+00   .67521E+01   .16008E+02   .25415E+02   .33970E+02
   .27273E+03   .00000E+00   .85923E+00   .76353E+01   .17674E+02   .27800E+02   .36992E+02
   .29293E+03   .00000E+00   .10537E+01   .86000E+01   .19427E+02   .30263E+02   .40081E+02
   .31313E+03   .00000E+00   .12866E+01   .96529E+01   .21274E+02   .32811E+02   .43244E+02
   .33333E+03   .00000E+00   .15641E+01   .10801E+02   .23220E+02   .35448E+02   .46484E+02
   .35354E+03   .00000E+00   .18931E+01   .12050E+02   .25270E+02   .38179E+02   .49806E+02
   .37374E+03   .00000E+00   .22806E+01   .13408E+02   .27431E+02   .41009E+02   .53214E+02
   .39394E+03   .00000E+00   .27358E+01   .14882E+02   .29706E+02   .43942E+02   .56711E+02
   .41414E+03   .00000E+00   .32679E+01   .16477E+02   .32103E+02   .46982E+02   .60302E+02
   .43434E+03   .00000E+00   .38867E+01   .18202E+02   .34624E+02   .50135E+02   .63991E+02
   .45455E+03   .00000E+00   .46028E+01   .20062E+02   .37277E+02   .53404E+02   .67780E+02
   .47475E+03   .00000E+00   .54274E+01   .22066E+02   .40065E+02   .56793E+02   .71674E+02
   .49495E+03   .00000E+00   .63723E+01   .24218E+02   .42992E+02   .60306E+02   .75676E+02
   .51515E+03   .00000E+00   .74496E+01   .26526E+02   .46065E+02   .63947E+02   .79790E+02
   .53535E+03   .00000E+00   .86719E+01   .28997E+02   .49286E+02   .67719E+02   .84019E+02
   .55556E+03   .00000E+00   .10052E+02   .31637E+02   .52661E+02   .71626E+02   .88365E+02
   .57576E+03   .00000E+00   .11602E+02   .34451E+02   .56193E+02   .75672E+02   .92832E+02
   .59596E+03   .00000E+00   .13337E+02   .37446E+02   .59886E+02   .79860E+02   .97423E+02
   .61616E+03   .00000E+00   .15269E+02   .40628E+02   .63743E+02   .84192E+02   .10214E+03
   .63636E+03   .00000E+00   .17411E+02   .44002E+02   .67770E+02   .88672E+02   .10699E+03
   .65657E+03   .00000E+00   .19775E+02   .47575E+02   .71969E+02   .93303E+02   .11197E+03
   .67677E+03   .00000E+00   .22376E+02   .51350E+02   .76345E+02   .98087E+02   .11708E+03
   .69697E+03   .00000E+00   .25225E+02   .55334E+02   .80900E+02   .10303E+03   .12233E+03
   .71717E+03   .00000E+00   .28333E+02   .59532E+02   .85637E+02   .10813E+03   .12771E+03
   .73737E+03   .00000E+00   .31712E+02   .63949E+02   .90560E+02   .11339E+03   .13324E+03
   .75758E+03   .00000E+00   .35374E+02   .68589E+02   .95672E+02   .11881E+03   .13891E+03
   .77778E+03   .00000E+00   .39328E+02   .73456E+02   .10098E+03   .12440E+03   .14473E+03
   .79798E+03   .00000E+00   .43584E+02   .78556E+02   .10647E+03   .13016E+03   .15070E+03
   .81818E+03   .00000E+00   .48154E+02   .83892E+02   .11217E+03   .13609E+03   .15681E+03
   .83838E+03   .00000E+00   .53045E+02   .89469E+02   .11806E+03   .14219E+03   .16307E+03
   .85859E+03   .00000E+00   .58266E+02   .95290E+02   .12416E+03   .14847E+03   .16949E+03
   .87879E+03   .00000E+00   .63825E+02   .10136E+03   .13046E+03   .15492E+03   .17605E+03
   .89899E+03   .00000E+00   .69731E+02   .10768E+03   .13697E+03   .16155E+03   .18278E+03
   .91919E+03   .00000E+00   .75989E+02   .11425E+03   .14368E+03   .16836E+03   .18966E+03
   .93939E+03   .00000E+00   .82606E+02   .12108E+03   .15061E+03   .17534E+03   .19669E+03
   .95960E+03   .00000E+00   .89589E+02   .12817E+03   .15775E+03   .18251E+03   .20388E+03
   .97980E+03   .00000E+00  -.89589E+02  -.12817E+03  -.15777E+03  -.18263E+03  -.20428E+03
   .10000E+04   .00000E+00  -.82606E+02  -.12108E+03  -.15063E+03  -.17546E+03  -.19709E+03
   .10202E+04   .00000E+00  -.75989E+02  -.11425E+03  -.14370E+03  -.16848E+03  -.19006E+03
   .10404E+04   .00000E+00  -.69731E+02  -.10768E+03  -.13699E+03  -.16168E+03  -.18319E+03
   .10606E+04   .00000E+00  -.63825E+02  -.10136E+03  -.13048E+03  -.15505E+03  -.17648E+03
   .10808E+04   .00000E+00  -.58266E+02  -.95290E+02  -.12418E+03  -.14861E+03  -.16993E+03
