  60 10.0
    8.00
   1    1.50    1.20    4.81
   2    1.50    1.20    4.81
   3    1.50    1.20    4.81
   4    1.50    1.20    4.81
   5    1.50    1.20    4.81
   6    1.50    1.20    4.81
   7    1.50    1.20    4.81
   8    1.50    1.20    4.81
   9    1.50    1.20    4.82
  10    1.50    1.20    4.83
  11    1.50    1.19    4.85
  12    1.50    1.19    4.88
  13    1.50    1.19    4.93
  14    1.50    1.19    5.02
  15    1.50    1.18    5.14
  16    1.50    1.17    5.34
  17    1.30    1.05    5.34
  18    1.30    1.02    5.71
  19    1.10     .89    5.82
  20    1.10     .85    6.35
  21     .90     .72    6.46
  22     .70     .59    6.48
  23     .70     .56    7.03
  24     .50     .44    6.81
  25     .50     .41    7.23
  26     .30     .32    6.53
  27     .30     .29    6.59
  28     .30     .27    6.28
  29     .30     .25    5.43
  30     .15     .17    4.31
  31     .15     .17    2.63
  32     .15     .17    1.04
  33     .30     .25    -.12
  34     .30     .27    -.71
  35     .30     .30    -.73
  36     .50     .39   -1.03
  37     .50     .42    -.48
  38     .70     .54     .08
  39     .70     .58     .73
  40     .90     .72    1.45
  41    1.10     .85    2.20
  42    1.10     .89    2.70
  43    1.30    1.02    3.38
  44    1.30    1.04    3.70
  45    1.50    1.17    4.24
  46    1.50    1.18    4.41
  47    1.50    1.18    4.53
  48    1.50    1.19    4.62
  49    1.50    1.19    4.68
  50    1.50    1.19    4.72
  51    1.50    1.19    4.75
  52    1.50    1.20    4.77
  53    1.50    1.20    4.78
  54    1.50    1.20    4.79
  55    1.50    1.20    4.79
  56    1.50    1.20    4.79
  57    1.50    1.20    4.80
  58    1.50    1.20    4.80
  59    1.50    1.20    4.80
  60    1.50    1.20    4.80
